10, 80, 6.87, 6.14, 6.65, 0.71, 0.22 
20, 160, 8.01, 7.05, 7.56, 1.29, 0.40 
40, 320, 12.83, 7.91, 8.97, 14.20, 4.40 
80, 640, 11.11, 8.94, 10.16, 6.35, 1.97 
160, 1280, 11.65, 10.38, 11.58, 0.94, 0.29 
320, 2560, 14.50, 12.45, 13.98, 2.52, 0.78 
640, 5120, 34.83, 28.66, 32.05, 9.14, 2.83 
1280, 10240, 48.08, 39.81, 44.59, 25.14, 7.79 
2560, 20480, 71.60, 51.46, 55.27, 72.69, 22.53 
5120, 40960, 72.99, 62.63, 66.86, 25.49, 7.90 
