1, 8, 8.68, 6.46, 7.53, 4.28, 0.84 
2, 16, 8.13, 6.55, 7.52, 2.83, 0.55 
4, 32, 29.83, 15.39, 31.49, 6.28, 1.23 
8, 64, 17.00, 11.52, 16.62, 3.95, 0.77 
16, 128, 12.55, 9.95, 11.86, 4.06, 0.80 
32, 256, 12.16, 10.15, 11.74, 1.99, 0.39 
64, 512, 12.70, 10.94, 12.54, 1.51, 0.30 
128, 1024, 15.38, 12.97, 14.56, 2.78, 0.54 
256, 2048, 17.80, 15.97, 17.67, 1.19, 0.23 
512, 4096, 33.44, 24.69, 33.28, 4.82, 0.95 
1024, 8192, 42.79, 36.65, 41.32, 4.57, 0.90 
2048, 16384, 77.81, 72.49, 77.07, 4.13, 0.81 
4096, 32768, 119.28, 108.17, 118.71, 7.01, 1.37 
8192, 65536, 211.08, 186.92, 212.40, 10.83, 2.12 
16384, 131072, 438.23, 410.83, 438.52, 10.87, 2.13 
32768, 262144, 1046.31, 1004.48, 1045.57, 15.42, 3.02 
65536, 524288, 2244.45, 2162.31, 2205.12, 249.19, 48.84 
131072, 1048576, 3725.38, 3648.61, 3728.20, 35.74, 7.00 
262144, 2097152, 7778.43, 7627.46, 7737.45, 279.54, 54.79 
524288, 4194304, 14185.12, 14025.44, 14110.86, 294.03, 57.63 
1048576, 8388608, 27196.82, 27012.14, 27149.98, 225.55, 44.21 
2097152, 16777216, 54708.15, 53818.18, 54815.21, 711.91, 139.53 
4194304, 33554432, 108802.25, 108271.64, 108719.88, 456.71, 89.51 
8388608, 67108864, 215792.77, 214871.01, 215780.83, 549.56, 107.71 
