1, 8, 10.33, 9.36, 10.04, 1.50, 0.29 
2, 16, 12.78, 11.66, 12.37, 1.78, 0.35 
4, 32, 12.31, 11.64, 12.29, 0.35, 0.07 
8, 64, 12.27, 11.49, 12.08, 0.67, 0.13 
16, 128, 12.28, 11.58, 12.19, 0.53, 0.10 
32, 256, 12.48, 11.70, 12.39, 0.56, 0.11 
64, 512, 13.16, 12.31, 13.05, 0.72, 0.14 
128, 1024, 14.81, 13.25, 14.15, 2.24, 0.44 
256, 2048, 16.64, 15.85, 16.44, 0.87, 0.17 
512, 4096, 25.37, 21.88, 22.92, 21.68, 4.25 
1024, 8192, 32.82, 30.80, 32.65, 0.92, 0.18 
2048, 16384, 45.01, 42.68, 43.72, 2.54, 0.50 
4096, 32768, 83.71, 77.14, 78.68, 28.44, 5.57 
8192, 65536, 180.28, 174.49, 178.21, 22.43, 4.40 
16384, 131072, 314.42, 300.64, 313.01, 11.82, 2.32 
32768, 262144, 622.18, 575.03, 622.44, 41.93, 8.22 
65536, 524288, 1399.16, 1369.86, 1396.12, 16.26, 3.19 
131072, 1048576, 4007.55, 3773.74, 3910.00, 739.16, 144.88 
262144, 2097152, 7312.83, 6587.30, 7301.79, 140.32, 27.50 
524288, 4194304, 11715.23, 10976.43, 11629.13, 272.74, 53.46 
1048576, 8388608, 24046.16, 22432.79, 23986.63, 667.41, 130.81 
2097152, 16777216, 44207.51, 42725.53, 44054.77, 804.91, 157.76 
4194304, 33554432, 77673.86, 73108.84, 77993.85, 1092.44, 214.12 
8388608, 67108864, 160078.07, 156102.26, 160410.68, 1259.20, 246.80 
