1, 8, 28.09, 21.00, 25.32, 11.65, 2.28 
2, 16, 74.10, 23.31, 24.28, 442.25, 86.68 
4, 32, 98.81, 37.81, 56.09, 437.76, 85.80 
8, 64, 37.36, 30.76, 33.46, 25.50, 5.00 
16, 128, 31.06, 26.01, 26.95, 23.07, 4.52 
32, 256, 30.21, 26.43, 27.34, 23.98, 4.70 
64, 512, 33.37, 27.81, 28.71, 22.08, 4.33 
128, 1024, 96.27, 37.78, 50.02, 430.32, 84.34 
256, 2048, 42.37, 39.01, 40.45, 4.48, 0.88 
512, 4096, 61.22, 53.76, 57.38, 24.15, 4.73 
1024, 8192, 92.07, 82.56, 89.46, 9.93, 1.95 
2048, 16384, 151.27, 136.27, 146.21, 24.13, 4.73 
4096, 32768, 237.79, 221.79, 230.32, 35.74, 7.01 
8192, 65536, 450.40, 406.55, 442.11, 38.71, 7.59 
16384, 131072, 865.73, 771.42, 800.67, 143.05, 28.04 
32768, 262144, 1910.42, 1842.26, 1897.24, 52.63, 10.32 
65536, 524288, 3916.82, 3522.87, 3783.18, 664.84, 130.31 
131072, 1048576, 8218.55, 7716.75, 8143.46, 574.71, 112.64 
262144, 2097152, 17442.62, 16102.25, 16699.86, 1791.19, 351.07 
524288, 4194304, 30179.07, 29243.92, 29725.75, 1370.47, 268.61 
1048576, 8388608, 57547.29, 56113.02, 56934.30, 1499.65, 293.93 
2097152, 16777216, 112771.19, 110708.55, 111917.30, 2003.48, 392.68 
4194304, 33554432, 226168.97, 223373.48, 225906.67, 1940.45, 380.33 
8388608, 67108864, 462049.24, 450575.77, 458700.94, 7709.24, 1511.01 
