1, 8, 10.30, 9.14, 9.78, 1.59, 0.31 
2, 16, 12.20, 11.36, 11.84, 1.19, 0.23 
4, 32, 12.07, 11.34, 11.73, 1.28, 0.25 
8, 64, 11.93, 11.26, 11.67, 0.79, 0.15 
16, 128, 12.08, 11.33, 11.86, 0.77, 0.15 
32, 256, 12.34, 11.65, 12.05, 0.96, 0.19 
64, 512, 12.83, 11.98, 12.61, 0.80, 0.16 
128, 1024, 14.95, 13.25, 13.71, 3.03, 0.59 
256, 2048, 16.12, 15.38, 15.96, 0.75, 0.15 
512, 4096, 22.62, 22.03, 22.35, 1.19, 0.23 
1024, 8192, 32.37, 30.33, 31.81, 4.45, 0.87 
2048, 16384, 43.42, 41.08, 42.22, 3.27, 0.64 
4096, 32768, 80.98, 75.03, 76.20, 26.80, 5.25 
8192, 65536, 180.64, 173.90, 178.65, 15.20, 2.98 
16384, 131072, 359.23, 343.52, 362.91, 13.06, 2.56 
32768, 262144, 614.64, 583.86, 607.87, 32.46, 6.36 
65536, 524288, 1363.70, 1289.74, 1354.11, 40.55, 7.95 
131072, 1048576, 4014.22, 3651.98, 3885.31, 1084.36, 212.53 
262144, 2097152, 7401.63, 6753.37, 7426.18, 158.99, 31.16 
524288, 4194304, 10738.09, 9950.60, 10751.22, 148.60, 29.12 
1048576, 8388608, 21390.01, 20229.73, 21285.39, 534.77, 104.81 
2097152, 16777216, 43235.34, 40849.78, 43042.69, 928.61, 182.01 
4194304, 33554432, 78436.16, 76145.62, 78572.38, 1265.89, 248.11 
8388608, 67108864, 163674.42, 158229.19, 163774.26, 1478.47, 289.78 
