1, 8, 13.40, 11.98, 12.66, 2.25, 0.44 
2, 16, 17.61, 14.48, 15.11, 23.06, 4.52 
4, 32, 15.32, 14.38, 15.08, 1.03, 0.20 
8, 64, 15.04, 14.22, 14.70, 1.08, 0.21 
16, 128, 15.32, 14.26, 15.04, 1.05, 0.21 
32, 256, 15.64, 14.76, 15.39, 0.98, 0.19 
64, 512, 16.51, 15.37, 16.17, 1.25, 0.25 
128, 1024, 19.00, 16.93, 18.11, 2.76, 0.54 
256, 2048, 17.99, 16.98, 17.55, 1.27, 0.25 
512, 4096, 23.25, 22.17, 22.75, 1.92, 0.38 
1024, 8192, 35.86, 32.88, 33.50, 19.37, 3.80 
2048, 16384, 51.11, 46.31, 50.32, 5.27, 1.03 
4096, 32768, 90.75, 84.45, 87.60, 17.53, 3.44 
8192, 65536, 236.20, 221.54, 230.60, 32.89, 6.45 
16384, 131072, 439.80, 429.74, 438.87, 4.25, 0.83 
32768, 262144, 829.34, 795.73, 821.68, 44.47, 8.72 
65536, 524288, 1717.27, 1588.09, 1720.02, 80.69, 15.82 
131072, 1048576, 3516.35, 3401.53, 3526.60, 43.31, 8.49 
262144, 2097152, 8722.18, 8027.97, 8723.51, 164.83, 32.31 
524288, 4194304, 17239.45, 16340.92, 17267.34, 289.93, 56.83 
1048576, 8388608, 31983.14, 31530.62, 31955.95, 211.94, 41.54 
2097152, 16777216, 61857.24, 59947.46, 61857.72, 339.31, 66.50 
4194304, 33554432, 117561.42, 113643.89, 117752.71, 949.45, 186.09 
8388608, 67108864, 230555.03, 228873.74, 230433.83, 778.50, 152.59 
