1, 8, 23.21, 17.90, 19.61, 23.15, 4.54 
2, 16, 24.79, 20.91, 21.89, 21.87, 4.29 
4, 32, 49.03, 33.20, 51.32, 9.08, 1.78 
8, 64, 31.69, 27.00, 29.21, 22.45, 4.40 
16, 128, 25.27, 23.26, 24.30, 2.21, 0.43 
32, 256, 24.89, 23.69, 24.63, 0.89, 0.17 
64, 512, 26.48, 25.15, 26.16, 1.57, 0.31 
128, 1024, 36.87, 28.83, 36.48, 3.09, 0.61 
256, 2048, 56.95, 32.57, 34.48, 154.41, 30.27 
512, 4096, 59.93, 44.36, 46.17, 33.31, 6.53 
1024, 8192, 137.78, 81.45, 97.21, 171.92, 33.70 
2048, 16384, 190.10, 138.91, 149.32, 228.53, 44.79 
4096, 32768, 214.58, 198.52, 205.11, 63.63, 12.47 
8192, 65536, 371.12, 357.65, 365.49, 29.62, 5.81 
16384, 131072, 860.33, 831.79, 855.80, 22.29, 4.37 
32768, 262144, 1613.21, 1553.43, 1613.25, 35.68, 6.99 
65536, 524288, 3168.98, 3031.38, 3156.23, 98.85, 19.37 
131072, 1048576, 6736.40, 6476.63, 6643.35, 516.63, 101.26 
262144, 2097152, 14272.77, 13909.51, 14167.73, 584.86, 114.63 
524288, 4194304, 27019.05, 26373.52, 26886.12, 847.60, 166.13 
1048576, 8388608, 51833.39, 50285.45, 51573.26, 1036.69, 203.19 
2097152, 16777216, 100779.37, 98164.15, 100633.94, 1839.32, 360.51 
4194304, 33554432, 199860.74, 194558.51, 199481.65, 4755.33, 932.04 
8388608, 67108864, 399643.71, 387000.34, 399286.61, 4561.40, 894.04 
