1, 8, 9.27, 6.20, 7.49, 6.42, 1.26 
2, 16, 7.73, 6.07, 7.49, 2.13, 0.42 
4, 32, 32.00, 19.89, 30.22, 7.75, 1.52 
8, 64, 16.39, 13.68, 15.42, 2.08, 0.41 
16, 128, 11.67, 9.37, 11.01, 2.46, 0.48 
32, 256, 12.03, 10.05, 11.36, 2.54, 0.50 
64, 512, 12.42, 10.98, 12.28, 1.04, 0.20 
128, 1024, 16.62, 14.09, 15.36, 3.96, 0.78 
256, 2048, 28.63, 22.06, 27.89, 3.56, 0.70 
512, 4096, 36.16, 30.95, 35.23, 7.66, 1.50 
1024, 8192, 55.17, 48.41, 50.66, 38.65, 7.58 
2048, 16384, 98.76, 79.08, 90.13, 57.91, 11.35 
4096, 32768, 134.01, 121.10, 133.59, 5.36, 1.05 
8192, 65536, 249.02, 223.39, 249.61, 9.97, 1.95 
16384, 131072, 641.35, 610.90, 641.16, 16.11, 3.16 
32768, 262144, 1292.03, 1238.96, 1291.62, 17.10, 3.35 
65536, 524288, 2801.85, 2611.05, 2810.01, 78.32, 15.35 
131072, 1048576, 6332.83, 6197.68, 6301.35, 238.72, 46.79 
262144, 2097152, 13016.88, 12518.74, 12974.27, 335.29, 65.72 
524288, 4194304, 26445.70, 25469.46, 26367.20, 375.09, 73.52 
1048576, 8388608, 52176.31, 47908.45, 52534.19, 1187.02, 232.66 
2097152, 16777216, 99280.03, 93483.47, 99487.37, 1834.85, 359.63 
4194304, 33554432, 197500.47, 190702.75, 198129.44, 2892.77, 566.98 
8388608, 67108864, 388465.73, 373658.76, 389691.84, 5866.88, 1149.91 
