2, 16, 21.76, 18.26, 21.45, 2.22, 0.69 
4, 32, 27.11, 19.74, 26.18, 4.94, 1.53 
8, 64, 25.67, 18.63, 24.75, 5.16, 1.60 
16, 128, 25.31, 18.70, 23.34, 4.78, 1.48 
32, 256, 22.56, 19.34, 21.91, 2.56, 0.79 
64, 512, 23.24, 19.89, 22.25, 3.21, 1.00 
128, 1024, 27.12, 24.58, 27.09, 2.03, 0.63 
256, 2048, 48.77, 30.35, 33.14, 69.84, 21.65 
512, 4096, 47.22, 43.82, 46.99, 2.48, 0.77 
1024, 8192, 73.39, 69.64, 72.60, 3.33, 1.03 
2048, 16384, 129.00, 119.82, 125.54, 17.67, 5.48 
4096, 32768, 239.77, 218.15, 227.42, 54.91, 17.02 
8192, 65536, 456.22, 427.66, 435.69, 113.18, 35.07 
16384, 131072, 282.10, 273.36, 280.29, 6.16, 1.91 
32768, 262144, 506.53, 489.06, 506.91, 10.12, 3.14 
65536, 524288, 980.07, 961.79, 978.98, 13.40, 4.15 
131072, 1048576, 2200.16, 2169.42, 2197.10, 39.43, 12.22 
262144, 2097152, 4384.42, 4351.78, 4382.03, 37.54, 11.63 
524288, 4194304, 8835.91, 8777.50, 8830.22, 51.57, 15.98 
1048576, 8388608, 48363.45, 43898.46, 47713.03, 3885.75, 1204.21 
2097152, 16777216, 59348.21, 55728.69, 59058.67, 2049.49, 635.14 
4194304, 33554432, 102921.69, 97849.18, 102583.46, 3079.48, 954.34 
8388608, 67108864, 174269.39, 167908.47, 173862.81, 5242.59, 1624.70 
