10, 80, 337.39, 297.99, 342.36, 21.35, 6.62 
20, 160, 333.67, 297.72, 339.56, 21.60, 6.70 
40, 320, 254.07, 185.58, 210.08, 72.05, 22.33 
80, 640, 201.76, 191.57, 200.98, 7.11, 2.20 
160, 1280, 240.26, 232.04, 238.49, 9.18, 2.85 
320, 2560, 278.74, 271.60, 278.43, 3.33, 1.03 
640, 5120, 561.51, 501.99, 537.86, 57.25, 17.74 
1280, 10240, 1069.35, 989.24, 1048.25, 67.27, 20.85 
2560, 20480, 1984.83, 1922.01, 1977.15, 41.90, 12.98 
5120, 40960, 3506.10, 3429.24, 3510.31, 36.17, 11.21 
10240, 81920, 6441.21, 6081.27, 6140.07, 1725.54, 534.75 
20480, 163840, 6420.28, 6209.41, 6307.02, 546.66, 169.41 
40960, 327680, 6581.47, 6438.56, 6581.75, 52.60, 16.30 
81920, 655360, 6568.85, 6383.56, 6510.53, 262.48, 81.34 
163840, 1310720, 7965.48, 7803.31, 7953.51, 88.53, 27.44 
327680, 2621440, 10225.35, 10002.96, 10209.71, 139.15, 43.12 
655360, 5242880, 13645.29, 13199.29, 13598.89, 432.28, 133.96 
1310720, 10485760, 20845.24, 19814.81, 20661.44, 1280.37, 396.79 
2621440, 20971520, 36298.66, 34869.41, 36133.06, 1367.09, 423.66 
5242880, 41943040, 67591.96, 65569.89, 67806.98, 1095.13, 339.38 
