10, 80, 189.97, 176.92, 187.06, 13.08, 4.05 
20, 160, 184.86, 176.17, 181.59, 14.12, 4.38 
40, 320, 183.19, 176.91, 181.73, 5.88, 1.82 
80, 640, 205.14, 190.19, 195.27, 28.68, 8.89 
160, 1280, 215.20, 206.21, 213.18, 9.21, 2.85 
320, 2560, 234.11, 217.25, 224.93, 33.77, 10.47 
640, 5120, 240.84, 229.77, 240.61, 5.38, 1.67 
1280, 10240, 272.36, 262.13, 269.85, 10.53, 3.26 
2560, 20480, 344.24, 319.68, 331.08, 59.03, 18.29 
5120, 40960, 468.52, 446.24, 466.36, 14.49, 4.49 
10240, 81920, 741.16, 721.14, 739.52, 11.59, 3.59 
20480, 163840, 1301.47, 1264.62, 1297.83, 19.69, 6.10 
40960, 327680, 2459.16, 2352.89, 2419.46, 213.29, 66.10 
81920, 655360, 4666.16, 4568.77, 4644.95, 93.00, 28.82 
163840, 1310720, 9798.78, 9596.57, 9766.74, 133.21, 41.28 
327680, 2621440, 21289.40, 20756.34, 21285.24, 267.90, 83.02 
655360, 5242880, 47478.00, 42888.08, 45053.33, 8834.38, 2737.80 
1310720, 10485760, 100535.95, 90964.41, 98593.09, 10474.28, 3246.01 
2621440, 20971520, 224758.73, 191865.29, 225271.95, 14191.99, 4398.14 
5242880, 41943040, 483966.62, 412961.00, 481685.53, 34021.64, 10543.41 
