10, 80, 464.79, 438.83, 461.19, 18.07, 5.60 
20, 160, 425.09, 414.32, 422.89, 9.23, 2.86 
40, 320, 429.79, 414.67, 430.99, 8.69, 2.69 
80, 640, 474.74, 450.53, 468.20, 32.07, 9.94 
160, 1280, 585.67, 573.47, 582.84, 15.76, 4.88 
320, 2560, 678.68, 667.76, 676.51, 11.00, 3.41 
640, 5120, 1252.97, 1202.42, 1253.66, 20.25, 6.27 
1280, 10240, 2127.13, 2074.38, 2125.44, 28.25, 8.75 
2560, 20480, 2357.82, 2239.73, 2351.57, 72.09, 22.34 
5120, 40960, 2201.68, 2139.40, 2196.50, 41.93, 12.99 
10240, 81920, 2344.81, 2266.47, 2346.77, 36.26, 11.24 
20480, 163840, 2668.76, 2529.64, 2677.95, 50.50, 15.65 
40960, 327680, 3247.04, 3138.55, 3246.45, 45.13, 13.99 
81920, 655360, 4544.14, 4383.10, 4478.55, 265.21, 82.19 
163840, 1310720, 7332.27, 6829.90, 7067.76, 1027.00, 318.27 
327680, 2621440, 12645.18, 12101.53, 12473.74, 671.60, 208.13 
655360, 5242880, 23106.93, 22140.03, 22971.31, 797.50, 247.15 
1310720, 10485760, 46371.70, 41828.16, 42876.44, 10259.03, 3179.31 
2621440, 20971520, 92048.48, 81746.65, 83353.93, 29557.63, 9160.00 
5242880, 41943040, 188999.18, 162419.87, 165268.93, 82480.57, 25560.99 
