10, 80, 236.77, 229.87, 235.31, 4.69, 1.45 
20, 160, 232.01, 227.25, 232.07, 3.38, 1.05 
40, 320, 257.82, 227.77, 234.26, 76.10, 23.58 
80, 640, 281.14, 244.75, 249.29, 97.12, 30.10 
160, 1280, 316.13, 290.04, 295.84, 71.02, 22.01 
320, 2560, 366.52, 345.77, 352.73, 50.28, 15.58 
640, 5120, 614.69, 595.48, 613.45, 12.57, 3.89 
1280, 10240, 1064.38, 1022.81, 1055.05, 53.00, 16.42 
2560, 20480, 1125.71, 1082.92, 1124.42, 18.60, 5.76 
5120, 40960, 1116.20, 1072.05, 1104.33, 46.68, 14.47 
10240, 81920, 1174.41, 1133.43, 1173.42, 24.13, 7.48 
20480, 163840, 1327.84, 1285.80, 1327.27, 21.70, 6.73 
40960, 327680, 1722.12, 1560.65, 1607.07, 531.81, 164.81 
81920, 655360, 2332.71, 2201.42, 2262.86, 207.79, 64.39 
163840, 1310720, 3513.85, 3369.31, 3466.28, 210.23, 65.15 
327680, 2621440, 6017.80, 5695.18, 5975.39, 197.06, 61.07 
655360, 5242880, 12048.05, 11615.77, 11872.66, 723.74, 224.29 
1310720, 10485760, 28308.78, 23147.44, 24074.41, 9381.47, 2907.35 
2621440, 20971520, 66343.43, 43455.04, 51822.13, 27682.46, 8578.88 
5242880, 41943040, 143243.75, 80764.35, 122820.97, 71555.42, 22175.26 
