10, 80, 415.29, 400.21, 413.98, 8.45, 2.62 
20, 160, 411.95, 396.50, 405.28, 28.95, 8.97 
40, 320, 421.58, 401.02, 411.58, 39.55, 12.26 
80, 640, 458.19, 428.06, 437.77, 63.86, 19.79 
160, 1280, 537.98, 508.85, 516.70, 76.50, 23.71 
320, 2560, 618.88, 609.95, 617.63, 5.95, 1.84 
640, 5120, 1082.19, 1026.33, 1078.01, 34.84, 10.80 
1280, 10240, 1863.61, 1810.73, 1861.21, 26.64, 8.26 
2560, 20480, 2219.90, 1902.12, 1994.46, 1088.95, 337.47 
5120, 40960, 1949.92, 1860.77, 1929.93, 95.46, 29.58 
10240, 81920, 2028.79, 1924.65, 2011.93, 58.52, 18.14 
20480, 163840, 2181.22, 2086.34, 2159.91, 72.51, 22.47 
40960, 327680, 2492.86, 2371.79, 2439.76, 164.97, 51.12 
81920, 655360, 3241.13, 2904.03, 2994.29, 565.00, 175.09 
163840, 1310720, 4725.42, 3947.50, 4049.56, 1529.03, 473.85 
327680, 2621440, 6502.90, 6158.63, 6289.22, 770.34, 238.73 
655360, 5242880, 12667.71, 11514.42, 11785.39, 3166.17, 981.21 
1310720, 10485760, 32642.30, 21546.76, 23012.40, 16463.74, 5102.17 
2621440, 20971520, 73966.81, 44245.83, 54546.78, 39483.34, 12236.02 
5242880, 41943040, 150158.81, 88580.23, 128649.12, 71109.99, 22037.21 
