10, 80, 72.07, 62.30, 71.25, 6.02, 1.86 
20, 160, 71.26, 60.77, 73.56, 5.16, 1.60 
40, 320, 61.32, 44.60, 62.11, 11.22, 3.48 
80, 640, 54.22, 46.84, 53.88, 4.95, 1.53 
160, 1280, 63.42, 55.85, 63.79, 4.91, 1.52 
320, 2560, 69.30, 63.70, 69.53, 3.09, 0.96 
640, 5120, 131.82, 114.02, 130.73, 15.71, 4.87 
1280, 10240, 249.89, 226.26, 240.61, 19.45, 6.03 
2560, 20480, 468.69, 440.60, 467.73, 20.94, 6.49 
5120, 40960, 868.75, 829.61, 851.63, 83.94, 26.01 
10240, 81920, 1484.39, 1444.41, 1484.72, 20.93, 6.49 
20480, 163840, 1585.85, 1548.45, 1578.29, 19.64, 6.09 
40960, 327680, 1821.22, 1776.14, 1821.72, 24.87, 7.71 
81920, 655360, 2202.24, 2094.19, 2199.24, 42.66, 13.22 
163840, 1310720, 3496.47, 2908.21, 3237.93, 1847.35, 572.50 
327680, 2621440, 5145.69, 5063.61, 5148.70, 42.77, 13.26 
655360, 5242880, 8558.92, 8146.31, 8559.04, 523.55, 162.25 
1310720, 10485760, 15879.51, 15121.58, 15769.54, 975.97, 302.46 
2621440, 20971520, 30693.77, 29581.45, 30442.58, 932.75, 289.06 
5242880, 41943040, 63941.89, 57836.05, 64965.88, 3802.30, 1178.34 
