10, 80, 909.00, 879.31, 892.61, 89.60, 27.77 
20, 160, 897.05, 875.22, 887.89, 28.09, 8.71 
40, 320, 950.23, 851.67, 913.83, 111.17, 34.45 
80, 640, 952.58, 920.62, 937.84, 48.58, 15.05 
160, 1280, 1066.42, 1041.76, 1066.72, 15.10, 4.68 
320, 2560, 1110.62, 1092.61, 1109.90, 10.08, 3.12 
640, 5120, 1134.58, 1118.30, 1130.92, 20.65, 6.40 
1280, 10240, 1163.42, 1150.17, 1160.75, 10.89, 3.37 
2560, 20480, 1214.49, 1194.13, 1208.76, 30.14, 9.34 
5120, 40960, 1349.54, 1292.84, 1348.09, 29.88, 9.26 
10240, 81920, 1631.37, 1544.22, 1604.75, 96.79, 30.00 
20480, 163840, 2258.23, 2116.51, 2172.61, 241.46, 74.83 
40960, 327680, 3559.79, 3279.89, 3362.53, 386.78, 119.86 
81920, 655360, 5964.03, 5651.48, 5774.98, 379.45, 117.59 
163840, 1310720, 11550.72, 10994.13, 11221.15, 856.69, 265.49 
327680, 2621440, 24661.34, 22113.19, 23969.93, 1836.13, 569.02 
655360, 5242880, 51938.33, 45083.47, 50770.22, 6347.17, 1967.01 
1310720, 10485760, 112328.52, 102067.44, 111447.04, 7090.38, 2197.33 
2621440, 20971520, 240217.39, 218458.53, 238432.08, 10033.94, 3109.55 
5242880, 41943040, 529626.70, 439927.15, 514508.52, 69687.62, 21596.42 
