1, 8, 21.01, 18.11, 20.02, 2.49, 0.77 
2, 16, 24.13, 21.27, 23.09, 2.65, 0.82 
4, 32, 30.74, 24.92, 30.07, 2.73, 0.85 
8, 64, 30.27, 23.46, 29.80, 3.32, 1.03 
16, 128, 26.92, 22.17, 26.16, 3.93, 1.22 
32, 256, 26.14, 22.91, 25.19, 2.46, 0.76 
64, 512, 28.39, 24.90, 27.26, 2.81, 0.87 
128, 1024, 32.93, 30.76, 32.42, 1.90, 0.59 
256, 2048, 39.45, 36.67, 38.86, 1.99, 0.62 
512, 4096, 53.53, 50.21, 52.83, 2.32, 0.72 
1024, 8192, 79.88, 74.38, 79.26, 3.86, 1.20 
2048, 16384, 128.43, 121.74, 127.05, 3.97, 1.23 
4096, 32768, 235.33, 215.25, 222.90, 46.66, 14.46 
8192, 65536, 414.39, 404.91, 412.13, 8.57, 2.65 
16384, 131072, 357.13, 339.79, 355.99, 8.91, 2.76 
32768, 262144, 638.16, 601.34, 621.03, 73.38, 22.74 
65536, 524288, 1260.61, 1112.98, 1157.96, 202.74, 62.83 
131072, 1048576, 2323.94, 2266.95, 2324.98, 32.87, 10.19 
262144, 2097152, 5352.79, 4485.58, 4612.61, 2455.06, 760.83 
524288, 4194304, 9938.59, 9449.79, 9711.88, 1214.56, 376.40 
1048576, 8388608, 80387.18, 75153.71, 80655.39, 2121.30, 657.40 
2097152, 16777216, 96046.28, 91859.47, 96104.98, 1760.45, 545.57 
4194304, 33554432, 129886.50, 127375.33, 129881.98, 1029.15, 318.94 
8388608, 67108864, 198385.93, 194802.63, 198170.51, 1687.74, 523.03 
