1, 8, 70.42, 29.00, 32.96, 226.10, 70.07 
2, 16, 38.58, 32.43, 35.19, 8.04, 2.49 
4, 32, 62.12, 53.00, 61.54, 4.66, 1.44 
8, 64, 59.64, 40.21, 55.12, 36.13, 11.20 
16, 128, 44.96, 36.21, 43.32, 7.89, 2.44 
32, 256, 44.67, 37.91, 43.88, 5.05, 1.57 
64, 512, 48.39, 40.32, 47.37, 4.65, 1.44 
128, 1024, 56.39, 50.63, 53.16, 6.26, 1.94 
256, 2048, 62.64, 58.84, 61.61, 4.31, 1.34 
512, 4096, 85.58, 77.26, 82.17, 7.92, 2.45 
1024, 8192, 118.30, 108.14, 114.46, 10.06, 3.12 
2048, 16384, 181.20, 168.50, 176.90, 14.52, 4.50 
4096, 32768, 302.02, 285.33, 299.98, 11.63, 3.60 
8192, 65536, 610.84, 534.65, 549.07, 214.72, 66.54 
16384, 131072, 1337.80, 966.05, 1039.79, 829.31, 257.00 
32768, 262144, 2001.91, 1835.16, 1973.22, 140.23, 43.46 
65536, 524288, 4502.08, 3536.34, 4221.95, 962.63, 298.32 
131072, 1048576, 10311.99, 7411.98, 10738.99, 1039.73, 322.22 
262144, 2097152, 21016.72, 19187.89, 21211.71, 649.25, 201.21 
524288, 4194304, 41470.67, 39088.47, 41609.47, 682.89, 211.63 
1048576, 8388608, 162072.92, 156319.64, 162268.41, 2566.30, 795.30 
2097152, 16777216, 215083.20, 210756.84, 214575.79, 3217.75, 997.19 
4194304, 33554432, 298800.58, 295986.82, 298557.90, 1739.94, 539.21 
8388608, 67108864, 490029.82, 483511.32, 489937.69, 3198.33, 991.17 
