1, 8, 479.96, 461.56, 469.02, 27.38, 8.48 
2, 16, 507.41, 464.69, 474.36, 167.69, 51.97 
4, 32, 809.99, 718.80, 810.85, 69.18, 21.44 
8, 64, 794.03, 758.84, 793.32, 36.25, 11.23 
16, 128, 680.17, 521.39, 711.96, 132.40, 41.03 
32, 256, 561.27, 527.52, 560.41, 26.14, 8.10 
64, 512, 582.31, 549.76, 577.36, 44.13, 13.68 
128, 1024, 635.81, 621.76, 635.10, 9.59, 2.97 
256, 2048, 660.07, 611.66, 624.12, 135.67, 42.04 
512, 4096, 693.79, 640.23, 651.07, 140.57, 43.56 
1024, 8192, 717.36, 676.33, 684.43, 146.19, 45.31 
2048, 16384, 764.62, 746.93, 756.63, 29.18, 9.04 
4096, 32768, 958.43, 883.03, 890.67, 292.53, 90.66 
8192, 65536, 1231.26, 1156.10, 1169.42, 163.67, 50.72 
16384, 131072, 2572.19, 2427.06, 2544.55, 105.43, 32.67 
32768, 262144, 2821.54, 2310.99, 2899.30, 267.97, 83.05 
65536, 524288, 3418.79, 3074.21, 3269.83, 301.85, 93.54 
131072, 1048576, 5467.99, 5357.72, 5432.20, 146.92, 45.53 
262144, 2097152, 10009.20, 9451.99, 10047.27, 327.67, 101.54 
524288, 4194304, 18531.73, 17496.95, 18033.62, 1650.06, 511.36 
1048576, 8388608, 1159855.67, 1128814.14, 1154784.63, 27297.46, 8459.57 
2097152, 16777216, 1156053.24, 1148218.37, 1156312.28, 5570.60, 1726.35 
4194304, 33554432, 1263788.45, 1237112.93, 1241997.69, 129352.75, 40086.83 
8388608, 67108864, 1464979.35, 1387147.73, 1410803.90, 118609.12, 36757.35 
