1, 8, 51.28, 47.36, 49.67, 8.36, 2.59 
2, 16, 50.49, 46.56, 49.54, 3.15, 0.98 
4, 32, 80.54, 64.61, 77.29, 12.70, 3.93 
8, 64, 79.54, 65.71, 74.19, 10.65, 3.30 
16, 128, 69.58, 55.46, 68.52, 11.93, 3.70 
32, 256, 60.50, 55.46, 59.73, 4.60, 1.43 
64, 512, 63.28, 56.86, 61.86, 4.54, 1.41 
128, 1024, 66.07, 62.95, 65.48, 2.42, 0.75 
256, 2048, 68.97, 64.90, 68.73, 2.06, 0.64 
512, 4096, 79.47, 75.59, 78.84, 2.32, 0.72 
1024, 8192, 98.38, 93.46, 98.29, 3.24, 1.00 
2048, 16384, 136.13, 131.41, 136.06, 2.94, 0.91 
4096, 32768, 212.85, 204.52, 212.48, 3.98, 1.23 
8192, 65536, 366.26, 356.60, 366.13, 5.34, 1.65 
16384, 131072, 382.40, 351.95, 382.60, 14.27, 4.42 
32768, 262144, 541.41, 474.85, 552.57, 32.19, 9.98 
65536, 524288, 887.43, 844.91, 868.04, 34.20, 10.60 
131072, 1048576, 1875.26, 1850.68, 1873.93, 13.60, 4.21 
262144, 2097152, 3671.80, 3570.31, 3673.30, 44.75, 13.87 
524288, 4194304, 7245.20, 7187.43, 7233.21, 46.46, 14.40 
1048576, 8388608, 127672.40, 124050.23, 125774.92, 4571.91, 1416.85 
2097152, 16777216, 138423.23, 135028.57, 138325.39, 1663.64, 515.57 
4194304, 33554432, 169648.71, 166866.12, 169433.77, 1463.02, 453.40 
8388608, 67108864, 229050.73, 225049.01, 228256.90, 4337.38, 1344.17 
